metro,year,upt
Chicago,2014,514216811.0
Chicago,2015,515964831.0
Chicago,2016,497704252.0
Chicago,2017,479435218.0
Chicago,2018,468067963.0
Chicago,2019,455743541.0
Chicago,2020,197499793.0
Chicago,2021,195980563.0
Chicago,2022,243538803.0
Chicago,2023,279146501.0
Chicago,2024,309197026.0
Chicago,2025,319160766.0
New York,2014,3524342769.0
New York,2015,3410689571.0
New York,2016,3424833193.0
New York,2017,3391860425.0
New York,2018,3321589128.0
New York,2019,3415576759.0
New York,2020,1513714340.0
New York,2021,1704995790.0
New York,2022,2251676106.0
New York,2023,2597910503.0
New York,2024,2855129017.0
New York,2025,2961298979.0
San Francisco,2014,283647043.0
San Francisco,2015,282986876.0
San Francisco,2016,290675609.0
San Francisco,2017,289131277.0
San Francisco,2018,287786627.0
San Francisco,2019,282098496.0
San Francisco,2020,99552577.0
San Francisco,2021,82940516.0
San Francisco,2022,125692793.0
San Francisco,2023,153742128.0
San Francisco,2024,164110664.0
San Francisco,2025,166109699.0
