date,metro,mode_group,upt,year,month,baseline_upt,index_vs_2014_2019_month
2014-01-01,Chicago,Bus,20556420.0,2014,1,19821514.666666668,103.70761440632587
2014-02-01,Chicago,Bus,21759993.0,2014,2,20151703.0,107.98091357340867
2014-03-01,Chicago,Bus,24607093.0,2014,3,22635257.666666668,108.71134476298504
2014-04-01,Chicago,Bus,23918987.0,2014,4,21598697.0,110.74273137865677
2014-05-01,Chicago,Bus,24551161.0,2014,5,22489480.333333332,109.1673112766901
2014-06-01,Chicago,Bus,22390364.0,2014,6,21352856.0,104.85887227450978
2014-07-01,Chicago,Bus,22615198.0,2014,7,20888408.833333332,108.26673386395565
2014-08-01,Chicago,Bus,22214609.0,2014,8,21152196.5,105.02270532518926
2014-09-01,Chicago,Bus,24434847.0,2014,9,22408561.0,109.04246372625177
2014-10-01,Chicago,Bus,25638174.0,2014,10,23454654.666666668,109.30953520469653
2014-11-01,Chicago,Bus,21484661.0,2014,11,20648848.0,104.04774639243797
2014-12-01,Chicago,Bus,21945250.0,2014,12,19755246.333333332,111.08568139173967
2015-01-01,Chicago,Bus,21404075.0,2015,1,19821514.666666668,107.98405348908418
2015-02-01,Chicago,Bus,20973492.0,2015,2,20151703.0,104.07801266225489
2015-03-01,Chicago,Bus,24520857.0,2015,3,22635257.666666668,108.33036389998828
2015-04-01,Chicago,Bus,23515670.0,2015,4,21598697.0,108.87541040091446
2015-05-01,Chicago,Bus,23615579.0,2015,5,22489480.333333332,105.00722404420164
2015-06-01,Chicago,Bus,23206110.0,2015,6,21352856.0,108.67918558529126
2015-07-01,Chicago,Bus,22901147.0,2015,7,20888408.833333332,109.63567011123784
2015-08-01,Chicago,Bus,22218099.0,2015,8,21152196.5,105.03920479369602
2015-09-01,Chicago,Bus,23886542.0,2015,9,22408561.0,106.59560870508373
2015-10-01,Chicago,Bus,25047870.0,2015,10,23454654.666666668,106.7927469236952
2015-11-01,Chicago,Bus,21655512.0,2015,11,20648848.0,104.87515816863005
2015-12-01,Chicago,Bus,21343813.0,2015,12,19755246.333333332,108.04123947564376
2016-01-01,Chicago,Bus,20751114.0,2016,1,19821514.666666668,104.68985013994221
2016-02-01,Chicago,Bus,21466849.0,2016,2,20151703.0,106.5262275848349
2016-03-01,Chicago,Bus,23340888.0,2016,3,22635257.666666668,103.11739474639366
2016-04-01,Chicago,Bus,21708284.0,2016,4,21598697.0,100.50737782931998
2016-05-01,Chicago,Bus,22222368.0,2016,5,22489480.333333332,98.81227876600855
2016-06-01,Chicago,Bus,21700741.0,2016,6,21352856.0,101.62921999754974
2016-07-01,Chicago,Bus,20368118.0,2016,7,20888408.833333332,97.50918876835146
2016-08-01,Chicago,Bus,21419471.0,2016,8,21152196.5,101.26357799295218
2016-09-01,Chicago,Bus,22702660.0,2016,9,22408561.0,101.31244036598335
2016-10-01,Chicago,Bus,22961412.0,2016,10,23454654.666666668,97.8970371822713
2016-11-01,Chicago,Bus,21083500.0,2016,11,20648848.0,102.10496973003048
2016-12-01,Chicago,Bus,19333035.0,2016,12,19755246.333333332,97.86278881969227
2017-01-01,Chicago,Bus,19570749.0,2017,1,19821514.666666668,98.73488141101359
2017-02-01,Chicago,Bus,19900788.0,2017,2,20151703.0,98.75486950159994
2017-03-01,Chicago,Bus,22122473.0,2017,3,22635257.666666668,97.7345755271794
2017-04-01,Chicago,Bus,20111450.0,2017,4,21598697.0,93.11418184161757
2017-05-01,Chicago,Bus,21934061.0,2017,5,22489480.333333332,97.53031495125255
2017-06-01,Chicago,Bus,21076518.0,2017,6,21352856.0,98.70584993407907
2017-07-01,Chicago,Bus,19785002.0,2017,7,20888408.833333332,94.7176118480957
2017-08-01,Chicago,Bus,20878045.0,2017,8,21152196.5,98.70391001709918
2017-09-01,Chicago,Bus,21895796.0,2017,9,22408561.0,97.71174507814223
2017-10-01,Chicago,Bus,22543248.0,2017,10,23454654.666666668,96.11417571642211
2017-11-01,Chicago,Bus,20641026.0,2017,11,20648848.0,99.96211895210813
2017-12-01,Chicago,Bus,18772015.0,2017,12,19755246.333333332,95.02293559521802
2018-01-01,Chicago,Bus,19192860.0,2018,1,19821514.666666668,96.82842266477314
2018-02-01,Chicago,Bus,18530421.0,2018,2,20151703.0,91.95461544862982
2018-03-01,Chicago,Bus,20953087.0,2018,3,22635257.666666668,92.56836086675577
2018-04-01,Chicago,Bus,20400912.0,2018,4,21598697.0,94.45436453874973
2018-05-01,Chicago,Bus,21468846.0,2018,5,22489480.333333332,95.46172557922303
2018-06-01,Chicago,Bus,19949111.0,2018,6,21352856.0,93.42596137959251
2018-07-01,Chicago,Bus,19757072.0,2018,7,20888408.833333332,94.58390132843452
2018-08-01,Chicago,Bus,20242243.0,2018,8,21152196.5,95.69806615591908
2018-09-01,Chicago,Bus,20673841.0,2018,9,22408561.0,92.25867292415609
2018-10-01,Chicago,Bus,22736825.0,2018,10,23454654.666666668,96.93950016801213
2018-11-01,Chicago,Bus,19723982.0,2018,11,20648848.0,95.5209801534691
2018-12-01,Chicago,Bus,18543810.0,2018,12,19755246.333333332,93.86777409457427
2019-01-01,Chicago,Bus,17453870.0,2019,1,19821514.666666668,88.05517788886095
2019-02-01,Chicago,Bus,18278675.0,2019,2,20151703.0,90.70536122927179
2019-03-01,Chicago,Bus,20267148.0,2019,3,22635257.666666668,89.53796019669785
2019-04-01,Chicago,Bus,19936879.0,2019,4,21598697.0,92.30593401074148
2019-05-01,Chicago,Bus,21144867.0,2019,5,22489480.333333332,94.02114538262416
2019-06-01,Chicago,Bus,19794292.0,2019,6,21352856.0,92.70091082897764
2019-07-01,Chicago,Bus,19903916.0,2019,7,20888408.833333332,95.28689407992485
2019-08-01,Chicago,Bus,19940712.0,2019,8,21152196.5,94.27253571514429
2019-09-01,Chicago,Bus,20857680.0,2019,9,22408561.0,93.07906920038283
2019-10-01,Chicago,Bus,21800399.0,2019,10,23454654.666666668,92.94700480490269
2019-11-01,Chicago,Bus,19304407.0,2019,11,20648848.0,93.4890266033243
2019-12-01,Chicago,Bus,18593555.0,2019,12,19755246.333333332,94.11958062313202
2020-01-01,Chicago,Bus,19482386.0,2020,1,19821514.666666668,98.28908803202123
2020-02-01,Chicago,Bus,19030116.0,2020,2,20151703.0,94.43428180734898
2020-03-01,Chicago,Bus,13340659.0,2020,3,22635257.666666668,58.9375177276901
2020-04-01,Chicago,Bus,5851654.0,2020,4,21598697.0,27.09262507826282
2020-05-01,Chicago,Bus,6822850.0,2020,5,22489480.333333332,30.337962011008972
2020-06-01,Chicago,Bus,7331690.0,2020,6,21352856.0,34.335875257155294
2020-07-01,Chicago,Bus,8608427.0,2020,7,20888408.833333332,41.21150188454198
2020-08-01,Chicago,Bus,8540937.0,2020,8,21152196.5,40.378487406733385
2020-09-01,Chicago,Bus,8593214.0,2020,9,22408561.0,38.34790640951911
2020-10-01,Chicago,Bus,8886803.0,2020,10,23454654.666666668,37.88929372995529
2020-11-01,Chicago,Bus,7493941.0,2020,11,20648848.0,36.29229582202358
2020-12-01,Chicago,Bus,7467245.0,2020,12,19755246.333333332,37.7987946796715
2021-01-01,Chicago,Bus,7156781.0,2021,1,19821514.666666668,36.10612569399338
2021-02-01,Chicago,Bus,6807111.0,2021,2,20151703.0,33.779333687083415
2021-03-01,Chicago,Bus,8867546.0,2021,3,22635257.666666668,39.175812047673766
2021-04-01,Chicago,Bus,8864582.0,2021,4,21598697.0,41.04220731463569
2021-05-01,Chicago,Bus,9197725.0,2021,5,22489480.333333332,40.89789921187004
2021-06-01,Chicago,Bus,9844710.0,2021,6,21352856.0,46.104886390841585
2021-07-01,Chicago,Bus,10605131.0,2021,7,20888408.833333332,50.77041092319359
2021-08-01,Chicago,Bus,10949679.0,2021,8,21152196.5,51.76615582216249
2021-09-01,Chicago,Bus,12058763.0,2021,9,22408561.0,53.81319666175798
2021-10-01,Chicago,Bus,11905632.0,2021,10,23454654.666666668,50.76021015530051
2021-11-01,Chicago,Bus,10923927.0,2021,11,20648848.0,52.90332419513185
2021-12-01,Chicago,Bus,10175928.0,2021,12,19755246.333333332,51.510003106516564
2022-01-01,Chicago,Bus,8606585.0,2022,1,19821514.666666668,43.420420410522276
2022-02-01,Chicago,Bus,9684827.0,2022,2,20151703.0,48.05959575724196
2022-03-01,Chicago,Bus,12082027.0,2022,3,22635257.666666668,53.3770243658076
2022-04-01,Chicago,Bus,11480606.0,2022,4,21598697.0,53.15416017919969
2022-05-01,Chicago,Bus,12254082.0,2022,5,22489480.333333332,54.488062055561656
2022-06-01,Chicago,Bus,11995182.0,2022,6,21352856.0,56.17600755608524
2022-07-01,Chicago,Bus,11554428.0,2022,7,20888408.833333332,55.31502227954127
2022-08-01,Chicago,Bus,12641822.0,2022,8,21152196.5,59.76600113373568
2022-09-01,Chicago,Bus,13266346.0,2022,9,22408561.0,59.2021326135132
2022-10-01,Chicago,Bus,13300536.0,2022,10,23454654.666666668,56.7074475792751
2022-11-01,Chicago,Bus,12055416.0,2022,11,20648848.0,58.382995506577416
2022-12-01,Chicago,Bus,11092088.0,2022,12,19755246.333333332,56.147556010395824
2023-01-01,Chicago,Bus,11701716.0,2023,1,19821514.666666668,59.035427901372614
2023-02-01,Chicago,Bus,11604685.0,2023,2,20151703.0,57.58662183538533
2023-03-01,Chicago,Bus,13504684.0,2023,3,22635257.666666668,59.662161566145485
2023-04-01,Chicago,Bus,12804435.0,2023,4,21598697.0,59.28336788094207
2023-05-01,Chicago,Bus,14126901.0,2023,5,22489480.333333332,62.815595516724635
2023-06-01,Chicago,Bus,13186306.0,2023,6,21352856.0,61.75429647443883
2023-07-01,Chicago,Bus,12999144.0,2023,7,20888408.833333332,62.23137484390965
2023-08-01,Chicago,Bus,14528741.0,2023,8,21152196.5,68.68667752779245
2023-09-01,Chicago,Bus,14796426.0,2023,9,22408561.0,66.03023728297413
2023-10-01,Chicago,Bus,15242491.0,2023,10,23454654.666666668,64.98706212742647
2023-11-01,Chicago,Bus,13895032.0,2023,11,20648848.0,67.29204457314036
2023-12-01,Chicago,Bus,13308800.0,2023,12,19755246.333333332,67.36843355652749
2024-01-01,Chicago,Bus,12883065.0,2024,1,19821514.666666668,64.9953609330629
2024-02-01,Chicago,Bus,14408475.0,2024,2,20151703.0,71.50003649815602
