date,metro,upt,year,month,baseline_upt,index_vs_2014_2019_month,index_3mma
2014-01-01,Chicago,38017424.0,2014,1,37312533.333333336,101.88915252783693,101.88915252783693
2014-02-01,Chicago,39560254.0,2014,2,37440902.333333336,105.6605250797597,103.7748388037983
2014-03-01,Chicago,44681324.0,2014,3,42158369.666666664,105.98446845378882,104.51138202046182
2014-04-01,Chicago,44275145.0,2014,4,40892433.5,108.27221862450422,106.63907071935091
2014-05-01,Chicago,44890929.0,2014,5,42403819.833333336,105.86529509945603,106.70732739258303
2014-06-01,Chicago,42581635.0,2014,6,41513274.666666664,102.5735390472368,105.57035092373235
2014-07-01,Chicago,43399533.0,2014,7,41086693.833333336,105.6291683532596,104.68933416665082
2014-08-01,Chicago,42633797.0,2014,8,41523745.333333336,102.67329369678887,103.6253336990951
2014-09-01,Chicago,45538924.0,2014,9,42848120.833333336,106.27986272054521,104.86077492353122
2014-10-01,Chicago,48081640.0,2014,10,45136199.5,106.52567237079853,105.1596095960442
2014-11-01,Chicago,40245139.0,2014,11,39400186.166666664,102.1445402053663,104.98335843223668
2014-12-01,Chicago,40311067.0,2014,12,36805823.666666664,109.52361062498888,106.06460773371789
2015-01-01,Chicago,39396881.0,2015,1,37312533.333333336,105.58618641100041,105.75144574711852
2015-02-01,Chicago,38175283.0,2015,2,37440902.333333336,101.9614395511319,105.69041219570705
2015-03-01,Chicago,44618007.0,2015,3,42158369.666666664,105.83428000840863,104.46063532351366
2015-04-01,Chicago,43631114.0,2015,4,40892433.5,106.69727933897599,104.83099963283884
2015-05-01,Chicago,43768713.0,2015,5,42403819.833333336,103.21879767443434,105.25011900727299
2015-06-01,Chicago,44331142.0,2015,6,41513274.666666664,106.78787052083838,105.56798251141623
2015-07-01,Chicago,44827910.0,2015,7,41086693.833333336,109.10566370183683,106.3707772990365
2015-08-01,Chicago,43020314.0,2015,8,41523745.333333336,103.60412736050881,106.49922052772801
2015-09-01,Chicago,45512366.0,2015,9,42848120.833333336,106.21788100586673,106.30922402273745
2015-10-01,Chicago,47711860.0,2015,10,45136199.5,105.70641863633202,105.17614233423586
2015-11-01,Chicago,41126104.0,2015,11,39400186.166666664,104.38048141709923,105.434927019766
2015-12-01,Chicago,39845137.0,2015,12,36805823.666666664,108.25769682770583,106.11486562704569
2016-01-01,Chicago,38915812.0,2016,1,37312533.333333336,104.29689041037149,105.64502288505885
2016-02-01,Chicago,40028365.0,2016,2,37440902.333333336,106.91079142172026,106.48845955326586
2016-03-01,Chicago,43708356.0,2016,3,42158369.666666664,103.67658034593985,104.96142072601053
2016-04-01,Chicago,41505600.0,2016,4,40892433.5,101.49946199704647,104.02894458823552
2016-05-01,Chicago,42494882.0,2016,5,42403819.833333336,100.21474991409873,101.79693075236169
2016-06-01,Chicago,42616909.0,2016,6,41513274.666666664,102.65850945798671,101.45757378971064
2016-07-01,Chicago,40886205.0,2016,7,41086693.833333336,99.51203464034704,100.79509800414417
2016-08-01,Chicago,42002965.0,2016,8,41523745.333333336,101.15408584370151,101.10820998067841
2016-09-01,Chicago,43502456.0,2016,9,42848120.833333336,101.52710353205883,100.73107467203579
2016-10-01,Chicago,44733958.0,2016,10,45136199.5,99.10882727288548,100.59667221621527
2016-11-01,Chicago,40962525.0,2016,11,39400186.166666664,103.96530825190644,101.53374635228357
2016-12-01,Chicago,36346219.0,2016,12,36805823.666666664,98.75127188884811,100.60846913788002
2017-01-01,Chicago,37472143.0,2017,1,37312533.333333336,100.42776421863609,101.04811478646354
2017-02-01,Chicago,37156871.0,2017,2,37440902.333333336,99.24138758514785,99.47347456421068
2017-03-01,Chicago,41748830.0,2017,3,42158369.666666664,99.02856853833588,99.5659067807066
2017-04-01,Chicago,38717511.0,2017,4,40892433.5,94.68135712686309,97.65043775011561
2017-05-01,Chicago,41830381.0,2017,5,42403819.833333336,98.64767175318823,97.45253247279572
2017-06-01,Chicago,41565620.0,2017,6,41513274.666666664,100.12609299977812,97.81837395994314
2017-07-01,Chicago,39210367.0,2017,7,41086693.833333336,95.43324940929881,98.06900472075506
2017-08-01,Chicago,41562400.0,2017,8,41523745.333333336,100.09309051087844,98.55081097331845
2017-09-01,Chicago,42071438.0,2017,9,42848120.833333336,98.18735846933777,97.90456612983833
2017-10-01,Chicago,43618314.0,2017,10,45136199.5,96.63709945273527,98.3058494776505
2017-11-01,Chicago,39319541.0,2017,11,39400186.166666664,99.79531780300344,98.20659190835882
2017-12-01,Chicago,35161802.0,2017,12,36805823.666666664,95.53325668906146,97.3218913149334
2018-01-01,Chicago,36550225.0,2018,1,37312533.333333336,97.95696441588885,97.76184630265125
2018-02-01,Chicago,35089025.0,2018,2,37440902.333333336,93.71842774408917,95.73621628301316
2018-03-01,Chicago,39907384.0,2018,3,42158369.666666664,94.66064346305487,95.44534520767763
2018-04-01,Chicago,38902703.0,2018,4,40892433.5,95.13423308495446,94.50443476403284
2018-05-01,Chicago,41086177.0,2018,5,42403819.833333336,96.89263175225184,95.56250276675372
2018-06-01,Chicago,39406307.0,2018,6,41513274.666666664,94.92459295590461,95.65048593103698
2018-07-01,Chicago,39188334.0,2018,7,41086693.833333336,95.3796237754394,95.73228282786528
2018-08-01,Chicago,40573326.0,2018,8,41523745.333333336,97.7111425626378,96.0051197646606
2018-09-01,Chicago,40427643.0,2018,9,42848120.833333336,94.351029202078,95.81393184671839
2018-10-01,Chicago,44288280.0,2018,10,45136199.5,98.12142025825634,96.72786400765739
2018-11-01,Chicago,37995037.0,2018,11,39400186.166666664,96.43364840784572,96.30203262272668
2018-12-01,Chicago,34653522.0,2018,12,36805823.666666664,94.15227957901699,96.23578274837303
2019-01-01,Chicago,33522715.0,2019,1,37312533.333333336,89.8430420162662,93.47632333437629
2019-02-01,Chicago,34635616.0,2019,2,37440902.333333336,92.5074286181511,92.1675834044781
2019-03-01,Chicago,38286317.0,2019,3,42158369.666666664,90.81545919047203,91.05530994162977
2019-04-01,Chicago,38322528.0,2019,4,40892433.5,93.71544982765577,92.3461125454263
2019-05-01,Chicago,40351837.0,2019,5,42403819.833333336,95.16085380657077,93.23058760823285
2019-06-01,Chicago,38578035.0,2019,6,41513274.666666664,92.92939501825536,93.93523288416064
2019-07-01,Chicago,39007814.0,2019,7,41086693.833333336,94.94026011981826,94.34350298154813
2019-08-01,Chicago,39349670.0,2019,8,41523745.333333336,94.76426002548453,94.2113050545194
2019-09-01,Chicago,40035898.0,2019,9,42848120.833333336,93.43676507011344,94.38042840513874
2019-10-01,Chicago,42383145.0,2019,10,45136199.5,93.90056200899237,94.03386236819676
2019-11-01,Chicago,36752771.0,2019,11,39400186.166666664,93.28070391477888,93.53934366462822
2019-12-01,Chicago,34517195.0,2019,12,36805823.666666664,93.78188439037876,93.65438343804999
2020-01-01,Chicago,36663539.0,2020,1,37312533.333333336,98.2606532568145,95.10774718732405
2020-02-01,Chicago,35328885.0,2020,2,37440902.333333336,94.35906401365486,95.46720055361605
2020-03-01,Chicago,23135123.0,2020,3,42158369.666666664,54.87670226083775,82.4988065104357
2020-04-01,Chicago,8118264.0,2020,4,40892433.5,19.852728989581898,56.36283175469151
2020-05-01,Chicago,9057928.0,2020,5,42403819.833333336,21.36111330441893,32.03018151827953
2020-06-01,Chicago,10286825.0,2020,6,41513274.666666664,24.77960383178316,21.99781537526133
2020-07-01,Chicago,12863488.0,2020,7,41086693.833333336,31.30816037956295,25.81629250525501
2020-08-01,Chicago,12801495.0,2020,8,41523745.333333336,30.82933607562503,28.972366762323713
2020-09-01,Chicago,13149933.0,2020,9,42848120.833333336,30.6896375949587,30.942378016715555
2020-10-01,Chicago,13637150.0,2020,10,45136199.5,30.213332427334738,30.57743536597282
2020-11-01,Chicago,11308845.0,2020,11,39400186.166666664,28.70251666365857,29.868495561984005
2020-12-01,Chicago,11148318.0,2020,12,36805823.666666664,30.28954901530031,29.73513270209787
2021-01-01,Chicago,10785642.0,2021,1,37312533.333333336,28.906217392547273,29.299427690502053
2021-02-01,Chicago,10459292.0,2021,2,37440902.333333336,27.93546989568191,29.04374543450983
2021-03-01,Chicago,13595092.0,2021,3,42158369.666666664,32.24767017200199,29.696452486743723
2021-04-01,Chicago,13868678.0,2021,4,40892433.5,33.915022445411566,31.36605417103182
2021-05-01,Chicago,14922430.0,2021,5,42403819.833333336,35.19123998416196,33.78464420052517
2021-06-01,Chicago,16603300.0,2021,6,41513274.666666664,39.9951584964501,36.36714030867454
2021-07-01,Chicago,18592597.0,2021,7,41086693.833333336,45.252112704468715,40.14617039502693
2021-08-01,Chicago,19010874.0,2021,8,41523745.333333336,45.78313889411838,43.6768033650124
2021-09-01,Chicago,21047014.0,2021,9,42848120.833333336,49.12003978393062,46.71843046083924
2021-10-01,Chicago,20934906.0,2021,10,45136199.5,46.38163210883539,47.09493692896146
2021-11-01,Chicago,18944613.0,2021,11,39400186.166666664,48.08254691960699,47.86140627079101
2021-12-01,Chicago,17216125.0,2021,12,36805823.666666664,46.775546054663764,47.079908361035386
2022-01-01,Chicago,14336716.0,2022,1,37312533.333333336,38.42332513829133,44.427139370854036
2022-02-01,Chicago,16264298.0,2022,2,37440902.333333336,43.4399199442371,42.879597045730726
2022-03-01,Chicago,20521598.0,2022,3,42158369.666666664,48.67739943991668,43.513548174148376
2022-04-01,Chicago,19799878.0,2022,4,40892433.5,48.419417249892945,46.84557887801557
2022-05-01,Chicago,21178009.0,2022,5,42403819.833333336,49.94363499146867,49.01348389375943
2022-06-01,Chicago,21403521.0,2022,6,41513274.666666664,51.55825738118918,49.973769874183596
2022-07-01,Chicago,20905052.0,2022,7,41086693.833333336,50.88034604293199,50.79407947186328
2022-08-01,Chicago,22291311.0,2022,8,41523745.333333336,53.68328608379546,52.040629835972204
2022-09-01,Chicago,23466606.0,2022,9,42848120.833333336,54.76694320219605,53.11019177630783
2022-10-01,Chicago,23576296.0,2022,10,45136199.5,52.2336755446147,53.561301610202065
2022-11-01,Chicago,20934641.0,2022,11,39400186.166666664,53.133355541632234,53.377991429481
2022-12-01,Chicago,18860877.0,2022,12,36805823.666666664,51.2442736530345,52.20376824642714
2023-01-01,Chicago,19871252.0,2023,1,37312533.333333336,53.256239190406085,52.544622795024274
2023-02-01,Chicago,19366395.0,2023,2,37440902.333333336,51.72523575308775,52.075249532176116
