metro,mode_group,year,upt,mode_share_pct
Chicago,Bus,2014,276116757.0,53.69656360768026
Chicago,Bus,2015,274288766.0,53.160360846377145
Chicago,Bus,2016,259058440.0,52.05067848204761
Chicago,Bus,2017,249231171.0,51.984326900240355
Chicago,Bus,2018,242173010.0,51.738856137009314
Chicago,Bus,2019,237276400.0,52.06357932783078
Chicago,Bus,2020,121449922.0,61.49369584402552
Chicago,Bus,2021,117357515.0,59.88222158541304
Chicago,Bus,2022,140013945.0,57.49143186845671
Chicago,Bus,2023,161699361.0,57.92634348656944
Chicago,Bus,2024,181733617.0,58.77599126713463
Chicago,Bus,2025,183957931.0,57.63801525654942
Chicago,Rail,2014,238100054.0,46.30343639231974
Chicago,Rail,2015,241676065.0,46.839639153622855
Chicago,Rail,2016,238645812.0,47.94932151795239
Chicago,Rail,2017,230204047.0,48.015673099759645
Chicago,Rail,2018,225894953.0,48.261143862990686
Chicago,Rail,2019,218467141.0,47.93642067216922
Chicago,Rail,2020,76049871.0,38.50630415597448
Chicago,Rail,2021,78623048.0,40.117778414586965
Chicago,Rail,2022,103524858.0,42.50856813154329
Chicago,Rail,2023,117447140.0,42.07365651343056
Chicago,Rail,2024,127463409.0,41.22400873286537
Chicago,Rail,2025,135202835.0,42.36198474345058
New York,Bus,2014,762582617.0,21.637583713696948
New York,Bus,2015,743763757.0,21.80684408584073
New York,Bus,2016,743752458.0,21.716457885311087
New York,Bus,2017,691273010.0,20.380349524553328
New York,Bus,2018,691981427.0,20.832842363518235
New York,Bus,2019,691616614.0,20.248896827676298
New York,Bus,2020,403160315.0,26.633843939141123
New York,Bus,2021,393017794.0,23.050953926402364
New York,Bus,2022,458602305.0,20.367152441595433
New York,Bus,2023,570625248.0,21.964776975229004
New York,Bus,2024,647859171.0,22.691064646904536
New York,Bus,2025,646911928.0,21.84554591034423
New York,Rail,2014,2761760152.0,78.36241628630304
New York,Rail,2015,2666925814.0,78.19315591415928
New York,Rail,2016,2681080735.0,78.28354211468891
New York,Rail,2017,2700587415.0,79.61965047544666
New York,Rail,2018,2629607701.0,79.16715763648176
New York,Rail,2019,2723960145.0,79.7511031723237
New York,Rail,2020,1110554025.0,73.36615606085888
New York,Rail,2021,1311977996.0,76.94904607359764
New York,Rail,2022,1793073801.0,79.63284755840456
New York,Rail,2023,2027285255.0,78.035223024771
New York,Rail,2024,2207269846.0,77.30893535309546
New York,Rail,2025,2314387051.0,78.15445408965577
San Francisco,Bus,2014,97336301.0,34.315993556823365
San Francisco,Bus,2015,97452911.0,34.43725460964487
San Francisco,Bus,2016,105947787.0,36.448805376030016
San Francisco,Bus,2017,109277890.0,37.79525035612111
San Francisco,Bus,2018,111469828.0,38.73349820386199
San Francisco,Bus,2019,107750636.0,38.1961043847607
San Francisco,Bus,2020,53137964.0,53.376784008313514
San Francisco,Bus,2021,47187567.0,56.89326432451903
San Francisco,Bus,2022,63130365.0,50.22592265890694
San Francisco,Bus,2023,75684937.0,49.228495783536964
San Francisco,Bus,2024,80287718.0,48.92291338239909
San Francisco,Bus,2025,81569233.0,49.105641326819814
San Francisco,Rail,2014,186310742.0,65.68400644317663
San Francisco,Rail,2015,185533965.0,65.56274539035513
San Francisco,Rail,2016,184727822.0,63.55119462396998
San Francisco,Rail,2017,179853387.0,62.2047496438789
San Francisco,Rail,2018,176316799.0,61.26650179613801
San Francisco,Rail,2019,174347860.0,61.80389561523929
San Francisco,Rail,2020,46414613.0,46.623215991686486
San Francisco,Rail,2021,35752949.0,43.10673567548097
San Francisco,Rail,2022,62562428.0,49.77407734109306
San Francisco,Rail,2023,78057191.0,50.771504216463036
San Francisco,Rail,2024,83822946.0,51.07708661760091
San Francisco,Rail,2025,84540466.0,50.894358673180186
